"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF PRODUCERS - NET INCOME, MEASURED IN $","AREA OPERATED","AREA OPERATED: (1,000 TO 1,999 ACRES)","1,077,804,000","2.7"
"CENSUS","2017","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF PRODUCERS - NET INCOME, MEASURED IN $","AREA OPERATED","AREA OPERATED: (1.0 TO 9.9 ACRES)","21,682,000","49.4"
"CENSUS","2017","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF PRODUCERS - NET INCOME, MEASURED IN $","AREA OPERATED","AREA OPERATED: (10.0 TO 49.9 ACRES)","147,699,000","9.2"
"CENSUS","2017","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF PRODUCERS - NET INCOME, MEASURED IN $","AREA OPERATED","AREA OPERATED: (100 TO 139 ACRES)","78,344,000","9.8"
"CENSUS","2017","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF PRODUCERS - NET INCOME, MEASURED IN $","AREA OPERATED","AREA OPERATED: (140 TO 179 ACRES)","77,056,000","13.3"
"CENSUS","2017","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF PRODUCERS - NET INCOME, MEASURED IN $","AREA OPERATED","AREA OPERATED: (180 TO 219 ACRES)","89,015,000","11.8"
"CENSUS","2017","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF PRODUCERS - NET INCOME, MEASURED IN $","AREA OPERATED","AREA OPERATED: (2,000 OR MORE ACRES)","1,283,164,000","6.3"
"CENSUS","2017","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF PRODUCERS - NET INCOME, MEASURED IN $","AREA OPERATED","AREA OPERATED: (220 TO 259 ACRES)","71,302,000","7.5"
"CENSUS","2017","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF PRODUCERS - NET INCOME, MEASURED IN $","AREA OPERATED","AREA OPERATED: (260 TO 499 ACRES)","391,428,000","8.3"
"CENSUS","2017","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF PRODUCERS - NET INCOME, MEASURED IN $","AREA OPERATED","AREA OPERATED: (50.0 TO 69.9 ACRES)","56,417,000","43.4"
"CENSUS","2017","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF PRODUCERS - NET INCOME, MEASURED IN $","AREA OPERATED","AREA OPERATED: (500 TO 999 ACRES)","801,374,000","5.9"
"CENSUS","2017","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF PRODUCERS - NET INCOME, MEASURED IN $","AREA OPERATED","AREA OPERATED: (70.0 TO 99.9 ACRES)","71,946,000","11.5"
"CENSUS","2017","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF PRODUCERS - NET INCOME, MEASURED IN $","AREA OPERATED","AREA OPERATED: (1,000 TO 1,999 ACRES)","524,204,000","16.6"
"CENSUS","2017","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF PRODUCERS - NET INCOME, MEASURED IN $","AREA OPERATED","AREA OPERATED: (1.0 TO 9.9 ACRES)","5,044,000","(H)"
"CENSUS","2017","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF PRODUCERS - NET INCOME, MEASURED IN $","AREA OPERATED","AREA OPERATED: (10.0 TO 49.9 ACRES)","60,969,000","71.8"
"CENSUS","2017","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF PRODUCERS - NET INCOME, MEASURED IN $","AREA OPERATED","AREA OPERATED: (100 TO 139 ACRES)","76,260,000","9.4"
"CENSUS","2017","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF PRODUCERS - NET INCOME, MEASURED IN $","AREA OPERATED","AREA OPERATED: (140 TO 179 ACRES)","59,304,000","10.5"
"CENSUS","2017","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF PRODUCERS - NET INCOME, MEASURED IN $","AREA OPERATED","AREA OPERATED: (180 TO 219 ACRES)","45,983,000","13.3"
"CENSUS","2017","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF PRODUCERS - NET INCOME, MEASURED IN $","AREA OPERATED","AREA OPERATED: (2,000 OR MORE ACRES)","667,251,000","11.0"
"CENSUS","2017","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF PRODUCERS - NET INCOME, MEASURED IN $","AREA OPERATED","AREA OPERATED: (220 TO 259 ACRES)","42,694,000","22.7"
"CENSUS","2017","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF PRODUCERS - NET INCOME, MEASURED IN $","AREA OPERATED","AREA OPERATED: (260 TO 499 ACRES)","204,530,000","11.1"
"CENSUS","2017","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF PRODUCERS - NET INCOME, MEASURED IN $","AREA OPERATED","AREA OPERATED: (50.0 TO 69.9 ACRES)","22,566,000","27.7"
"CENSUS","2017","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF PRODUCERS - NET INCOME, MEASURED IN $","AREA OPERATED","AREA OPERATED: (500 TO 999 ACRES)","369,039,000","7.3"
"CENSUS","2017","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF PRODUCERS - NET INCOME, MEASURED IN $","AREA OPERATED","AREA OPERATED: (70.0 TO 99.9 ACRES)","63,858,000","11.8"
"CENSUS","2017","YEAR","","STATE","IOWA","19","","","","","","","00000000","","INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF PRODUCERS - NET INCOME, MEASURED IN $","AREA OPERATED","AREA OPERATED: (1,000 TO 1,999 ACRES)","1,406,493,000","7.0"
"CENSUS","2017","YEAR","","STATE","IOWA","19","","","","","","","00000000","","INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF PRODUCERS - NET INCOME, MEASURED IN $","AREA OPERATED","AREA OPERATED: (1.0 TO 9.9 ACRES)","180,285,000","18.8"
"CENSUS","2017","YEAR","","STATE","IOWA","19","","","","","","","00000000","","INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF PRODUCERS - NET INCOME, MEASURED IN $","AREA OPERATED","AREA OPERATED: (10.0 TO 49.9 ACRES)","416,461,000","6.3"
"CENSUS","2017","YEAR","","STATE","IOWA","19","","","","","","","00000000","","INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF PRODUCERS - NET INCOME, MEASURED IN $","AREA OPERATED","AREA OPERATED: (100 TO 139 ACRES)","165,776,000","14.9"
"CENSUS","2017","YEAR","","STATE","IOWA","19","","","","","","","00000000","","INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF PRODUCERS - NET INCOME, MEASURED IN $","AREA OPERATED","AREA OPERATED: (140 TO 179 ACRES)","207,646,000","8.8"
"CENSUS","2017","YEAR","","STATE","IOWA","19","","","","","","","00000000","","INCOME, NET CASH FARM","INCOME, NET CASH FARM, OF PRODUCERS - NET INCOME, MEASURED IN $","AREA OPERATED","AREA OPERATED: (180 TO 219 ACRES)","166,728,000","8.8"
