OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-IA,USGS Iowa Water Science Center,USGS-05420500,"Mississippi River at Clinton, IA",Stream,,07080101,85600,sq mi,,,41.78058635000000,-90.2520730000000,24000,5,seconds,Interpolated from MAP.,NAD83,562.68,feet,.01,feet,Level or other surveyed method.,NGVD29,US,19,045,,,,,,,,,,NWIS
USGS-IA,USGS Iowa Water Science Center,USGS-05451210,"South Fork Iowa River NE of New Providence, IA",Stream,,07080207,224,sq mi,,,42.31530556000000,-93.1521944000000,24000,5,seconds,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAD83,944.03,feet,.13,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,19,083,,,,,,,,,,NWIS
USGS-IA,USGS Iowa Water Science Center,USGS-05454050,"Muddy Cr abv Trtmnt Outfall at North Liberty, IA",Stream,,07080209,3.94,sq mi,,,41.72388889000000,-91.5927778000000,,1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,19,103,,,,,,,,,,NWIS
USGS-IA,USGS Iowa Water Science Center,USGS-05454051,"Muddy Cr at Trtmnt Effluent at North Liberty, IA",Stream,,07080209,3.94,sq mi,,,41.72361110000000,-91.5922222000000,,1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,19,103,,,,,,,,,,NWIS
USGS-IA,USGS Iowa Water Science Center,USGS-05454052,"Muddy Cr blw Trtmnt Outfall at North Liberty, IA",Stream,,07080209,3.94,sq mi,,,41.72305556000000,-91.5911111000000,,1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,19,103,,,,,,,,,,NWIS
USGS-IA,USGS Iowa Water Science Center,USGS-05454090,"Muddy Creek at Coralville, IA",Stream,,07080209,8.7,sq mi,,,41.70000000000000,-91.5627778000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,665.09,feet,.01,feet,Level or other surveyed method.,NAVD88,US,19,103,,,,,,,,,,NWIS
USGS-IA,USGS Iowa Water Science Center,USGS-05464420,"Cedar River at Blairs Ferry Road at Palo, IA",Stream,,07080205,6342,sq mi,,,42.06916346000000,-91.7851803000000,24000,5,seconds,Interpolated from MAP.,NAD83,725.71,feet,.01,feet,Level or other surveyed method.,NGVD29,US,19,113,,,,,,,,,,NWIS
USGS-IA,USGS Iowa Water Science Center,USGS-05465500,"Iowa River at Wapello, IA",Stream,,07080209,12500,sq mi,,,41.17808610000000,-91.1820939000000,24000,5,seconds,Interpolated from MAP.,NAD83,538.17,feet,.01,feet,Level or other surveyed method.,NGVD29,US,19,115,,,,,,,,,,NWIS
USGS-IA,USGS Iowa Water Science Center,USGS-05469860,"Mud Lake Drainage Ditch 71 at Jewell, IA",Stream: Ditch,,07080105,65.4,sq mi,,,42.31442529000000,-93.6399380000000,24000,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,19,079,,,,,,,,,,NWIS
USGS-IA,USGS Iowa Water Science Center,USGS-05471382,"Sewer Creek near Sewage Plant at Newton, IA  DS1",Stream,,07080105,,,,,41.67671325000000,-93.0487814000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,825.0,feet,1,feet,Interpolated from topographic map.,NGVD29,US,19,099,,,,,,,,,,NWIS
